index,course_id,full_course_id,days_of_wk_cd,meet_strt_tm,meet_stop_tm,meet_bldg_cd,meet_room_cd,instructors,requisites_logic
14995,MUSC 160K,Music 160K,VAR,12:00 am,12:00 am,,,"Manouelian, V.H.",
14996,MUSC 160K,Music 160K,VAR,12:00 am,12:00 am,,,"An, J.",
14997,MUSC 160L,Music 160L,VAR,12:00 am,12:00 am,,,"Chen, C.B.",
14998,MUSC 160M,Music 160M,VAR,12:00 am,12:00 am,,,"Hong, B.",
14999,MUSC 160M,Music 160M,VAR,12:00 am,12:00 am,,,"Koo, S.",
15000,MUSC 160N,Music 160N,VAR,12:00 am,12:00 am,,,"Hanulik, C.",
15001,MUSC 160N,Music 160N,M,05:00 pm,05:50 pm,SMB,B00686,"Hanulik, C.",
15002,MUSC 160O,Music 160O,VAR,12:00 am,12:00 am,,,"Neill, L.A.",
15003,MUSC 160P,Music 160P,VAR,12:00 am,12:00 am,,,"Gogoncea, M.",
15004,MUSC 160S,Music 160S,VAR,12:00 am,12:00 am,,,"Faliks, I.",
15005,MUSC 160S,Music 160S,VAR,12:00 am,12:00 am,,,"Kaplan, D.",
15006,MUSC 160S,Music 160S,VAR,12:00 am,12:00 am,,,"Xing, B.E.; Faliks, I.",
15007,MUSC 160S,Music 160S,VAR,12:00 am,12:00 am,,,"Stern, V.M.",
15008,MUSC 160T,Music 160T,VAR,12:00 am,12:00 am,,,"Bull, C.",
15009,MUSC 161A,Music 161A,VAR,12:00 am,12:00 am,,,"Dean, M.E.","{'prerequisites': {'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Music 161B', 'Music 161C']}]}, 'corequisites': None}"
15010,MUSC 161A,Music 161A,VAR,12:00 am,12:00 am,,,"Gondek, J.K.","{'prerequisites': {'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Music 161B', 'Music 161C']}]}, 'corequisites': None}"
15011,MUSC 161A,Music 161A,VAR,12:00 am,12:00 am,,,"Chernov, V.","{'prerequisites': {'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Music 161B', 'Music 161C']}]}, 'corequisites': None}"
15012,MUSC 161A,Music 161A,VAR,12:00 am,12:00 am,,,"Yates, L.T.","{'prerequisites': {'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Music 161B', 'Music 161C']}]}, 'corequisites': None}"
15013,MUSC 161B,Music 161B,VAR,12:00 am,12:00 am,,,"Kirsch, V.H.","{'prerequisites': {'type': 'AND', 'conditions': ['Music 161A']}, 'corequisites': None}"
15014,MUSC 161B,Music 161B,VAR,12:00 am,12:00 am,,,"Fielding, C.L.","{'prerequisites': {'type': 'AND', 'conditions': ['Music 161A']}, 'corequisites': None}"
15015,MUSC 161B,Music 161B,VAR,12:00 am,12:00 am,,,"Caldwell, W.L.","{'prerequisites': {'type': 'AND', 'conditions': ['Music 161A']}, 'corequisites': None}"
15016,MUSC 161B,Music 161B,VAR,12:00 am,12:00 am,,,"Malkin, I.","{'prerequisites': {'type': 'AND', 'conditions': ['Music 161A']}, 'corequisites': None}"
15017,MUSC 161B,Music 161B,VAR,12:00 am,12:00 am,,,"Yates, L.T.","{'prerequisites': {'type': 'AND', 'conditions': ['Music 161A']}, 'corequisites': None}"
15018,MUSC 161C,Music 161C,VAR,12:00 am,12:00 am,,,"Malkin, I.","{'prerequisites': {'type': 'AND', 'conditions': ['Music 161A']}, 'corequisites': None}"
15019,MUSC 166,Music 166,VAR,12:00 am,12:00 am,,,"Lefkowitz, D.S.","{'prerequisites': {'type': 'AND', 'conditions': ['Music 66']}, 'corequisites': None}"
15020,MUSC 166,Music 166,VAR,12:00 am,12:00 am,,,"Golub, P.R.","{'prerequisites': {'type': 'AND', 'conditions': ['Music 66']}, 'corequisites': None}"
15021,MUSC 166,Music 166,VAR,12:00 am,12:00 am,,,"Rhie, K.K.","{'prerequisites': {'type': 'AND', 'conditions': ['Music 66']}, 'corequisites': None}"
15022,MUSC 166,Music 166,VAR,12:00 am,12:00 am,,,"Krouse, I.","{'prerequisites': {'type': 'AND', 'conditions': ['Music 66']}, 'corequisites': None}"
15023,MUSC 167A,Music 167A,VAR,12:00 am,12:00 am,,,The Staff,
15024,MUSC 167B,Music 167B,VAR,12:00 am,12:00 am,,,"Davis, J.D.",
15025,MUSC 167F,Music 167F,VAR,12:00 am,12:00 am,,,"Sanchez, A.",
15026,MUSC 167S,Music 167S,VAR,12:00 am,12:00 am,,,"Faliks, I.",
15027,MUSC C171,Music C171,R,06:00 pm,08:50 pm,SMB,01200,"Kaplan, D.","{'prerequisites': {'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Music 60S', 'Music 60T', 'Music 160S', 'Music 160T', 'Music 160U']}]}, 'corequisites': None}"
