index,course_id,full_course_id,days_of_wk_cd,meet_strt_tm,meet_stop_tm,meet_bldg_cd,meet_room_cd,instructors,requisites_logic
10815,MATH 115A,Mathematics 115A,MWF,02:00 pm,02:50 pm,MS,06229,"Adkisson, W.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 33A']}, 'corequisites': None}"
10817,MATH 115A,Mathematics 115A,MWF,03:00 pm,03:50 pm,MS,06229,"Vashaw, K.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 33A']}, 'corequisites': None}"
10819,MATH 115AH,Mathematics 115AH,MWF,02:00 pm,02:50 pm,MS,05117,"Conley, W.J.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 33A']}, 'corequisites': None}"
10821,MATH 115B,Mathematics 115B,MWF,01:00 pm,01:50 pm,MS,05117,"Balmer, P.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 115A']}, 'corequisites': None}"
10823,MATH 116,Mathematics 116,MWF,09:00 am,09:50 am,GEOLOGY,04645,"Dhillon, G.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 115A']}, 'corequisites': None}"
10825,MATH 117,Mathematics 117,MWF,03:00 pm,03:50 pm,GEOLOGY,04645,"Yeong, W.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 115A']}, 'corequisites': None}"
10827,MATH 118,Mathematics 118,MWF,09:00 am,09:50 am,GEOLOGY,06704,"Kovacova, G.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 115A', 'Mathematics 42']}, 'corequisites': None}"
10829,MATH 120A,Mathematics 120A,MWF,12:00 pm,12:50 pm,ROYCE,00162,"Yang, T.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 32B', 'Mathematics 33B', 'Mathematics 115A', 'Mathematics 131A']}, 'corequisites': None}"
10831,MATH 121,Mathematics 121,MWF,02:00 pm,02:50 pm,MS,05118,"Higgins, V.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 131A']}, 'corequisites': None}"
10833,MATH 123,Mathematics 123,MWF,11:00 am,11:50 am,GEOLOGY,06704,"Greene, R.E.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 115A']}, 'corequisites': None}"
10835,MATH 131A,Mathematics 131A,MWF,08:00 am,08:50 am,GEOLOGY,04645,"Yanez Etcheberry,","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 32B', 'Mathematics 33B']}, 'corequisites': None}"
10837,MATH 131A,Mathematics 131A,MWF,09:00 am,09:50 am,MS,05117,"Yanez Etcheberry,","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 32B', 'Mathematics 33B']}, 'corequisites': None}"
10839,MATH 131A,Mathematics 131A,MWF,10:00 am,10:50 am,GEOLOGY,06704,"Varvarezos, K.K.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 32B', 'Mathematics 33B']}, 'corequisites': None}"
10841,MATH 131A,Mathematics 131A,MWF,11:00 am,11:50 am,MS,05117,"Zhao, Z.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 32B', 'Mathematics 33B']}, 'corequisites': None}"
10843,MATH 131A,Mathematics 131A,MWF,12:00 pm,12:50 pm,GEOLOGY,06704,"Badreddine, R.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 32B', 'Mathematics 33B']}, 'corequisites': None}"
10845,MATH 131A,Mathematics 131A,MWF,01:00 pm,01:50 pm,WGYOUNG,01044,"Marsden, K.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 32B', 'Mathematics 33B']}, 'corequisites': None}"
10847,MATH 131B,Mathematics 131B,MWF,11:00 am,11:50 am,MS,05118,"Tan, H.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 33B', 'Mathematics 115A', 'Mathematics 131A']}, 'corequisites': None}"
10849,MATH 131B,Mathematics 131B,MWF,12:00 pm,12:50 pm,MS,05118,"Tan, H.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 33B', 'Mathematics 115A', 'Mathematics 131A']}, 'corequisites': None}"
10851,MATH 131B,Mathematics 131B,MWF,01:00 pm,01:50 pm,MS,05127,"Ding, C.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 33B', 'Mathematics 115A', 'Mathematics 131A']}, 'corequisites': None}"
10853,MATH 131BH,Mathematics 131BH,MWF,10:00 am,10:50 am,MS,05117,"Kim, C.",
10855,MATH 131C,Mathematics 131C,MWF,01:00 pm,01:50 pm,MS,05137,"Totaro, B.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 131A', 'Mathematics 131B']}, 'corequisites': None}"
10857,MATH 132,Mathematics 132,MWF,02:00 pm,02:50 pm,MS,05138,"Xiong, H.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 32B', 'Mathematics 33B']}, 'corequisites': None}"
10860,MATH 132,Mathematics 132,MWF,03:00 pm,03:50 pm,MS,05118,"Xiong, H.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 32B', 'Mathematics 33B']}, 'corequisites': None}"
10863,MATH 134,Mathematics 134,MWF,09:00 am,09:50 am,DODD,00161,"Nguyen, T.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 33B']}, 'corequisites': None}"
10866,MATH 134,Mathematics 134,MWF,10:00 am,10:50 am,DODD,00175,"Kashefi, A.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 33B']}, 'corequisites': None}"
10869,MATH 135,Mathematics 135,MWF,09:00 am,09:50 am,DODD,00175,"Zhou, M.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 33A', 'Mathematics 33B']}, 'corequisites': None}"
10872,MATH 135,Mathematics 135,MWF,01:00 pm,01:50 pm,MS,05138,"Munoz, S.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 33A', 'Mathematics 33B']}, 'corequisites': None}"
10874,MATH 136,Mathematics 136,MWF,10:00 am,10:50 am,MS,05118,"Flynn, P.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 32B', 'Mathematics 33B']}, 'corequisites': None}"
10876,MATH 142,Mathematics 142,MWF,11:00 am,11:50 am,DODD,00161,"Wu, J.S.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 32B', 'Mathematics 33B']}, 'corequisites': None}"
10879,MATH 142,Mathematics 142,MWF,12:00 pm,12:50 pm,MS,05117,"Porter, M.A.","{'prerequisites': {'type': 'AND', 'conditions': ['Mathematics 32B', 'Mathematics 33B']}, 'corequisites': None}"
