course_id,full_course_id
BIOL CH 266B,Biological Chemistry 266B
BIOL CH 296,Biological Chemistry 296
BIOL CH 596,Biological Chemistry 596
BIOL CH 597,Biological Chemistry 597
BIOL CH 598,Biological Chemistry 598
BIOL CH 599,Biological Chemistry 599
BIOSTAT 201A,Biostatistics 201A
BIOSTAT 99,Biostatistics 99
BIOSTAT 121,Biostatistics 121
BIOSTAT 200B,Biostatistics 200B
BIOSTAT 201B,Biostatistics 201B
BIOSTAT 202A,Biostatistics 202A
BIOSTAT 203B,Biostatistics 203B
BIOSTAT 211B,Biostatistics 211B
BIOSTAT 212A,Biostatistics 212A
BIOSTAT M215,Biostatistics M215
BIOSTAT 218,Biostatistics 218
BIOSTAT 231,Biostatistics 231
BIOSTAT M232,Biostatistics M232
BIOSTAT M234,Biostatistics M234
BIOSTAT 245,Biostatistics 245
BIOSTAT 246,Biostatistics 246
BIOSTAT 250B,Biostatistics 250B
BIOSTAT 285,Biostatistics 285
BIOSTAT 400,Biostatistics 400
BIOSTAT 402B,Biostatistics 402B
BIOSTAT M403B,Biostatistics M403B
BIOSTAT 409,Biostatistics 409
BIOSTAT 496,Biostatistics 496
BIOSTAT 595,Biostatistics 595
BIOSTAT 596,Biostatistics 596
BIOSTAT 597,Biostatistics 597
BIOSTAT 599,Biostatistics 599
BMD RES 5HA,Biomedical Research 5HA
BMD RES 5HB,Biomedical Research 5HB
BMD RES 193H,Biomedical Research 193H
BMD RES 194H,Biomedical Research 194H
BMD RES 199,Biomedical Research 199
C&EE M20,Civil and Environmental Engineering M20
C&EE 99,Civil and Environmental Engineering 99
C&EE C104,Civil and Environmental Engineering C104
C&EE 108,Civil and Environmental Engineering 108
C&EE 108L,Civil and Environmental Engineering 108L
C&EE C111,Civil and Environmental Engineering C111
C&EE 120L,Civil and Environmental Engineering 120L
C&EE 121,Civil and Environmental Engineering 121
C&EE 132,Civil and Environmental Engineering 132
C&EE 135B,Civil and Environmental Engineering 135B
C&EE 142,Civil and Environmental Engineering 142
C&EE 144,Civil and Environmental Engineering 144
C&EE 151,Civil and Environmental Engineering 151
C&EE 154,Civil and Environmental Engineering 154
C&EE 156B,Civil and Environmental Engineering 156B
C&EE 157L,Civil and Environmental Engineering 157L
C&EE C164,Civil and Environmental Engineering C164
C&EE M166,Civil and Environmental Engineering M166
C&EE C183,Civil and Environmental Engineering C183
C&EE C185,Civil and Environmental Engineering C185
C&EE 194,Civil and Environmental Engineering 194
C&EE 199,Civil and Environmental Engineering 199
C&EE 200,Civil and Environmental Engineering 200
C&EE C204,Civil and Environmental Engineering C204
C&EE C211,Civil and Environmental Engineering C211
C&EE 221,Civil and Environmental Engineering 221
C&EE M230A,Civil and Environmental Engineering M230A
C&EE 235B,Civil and Environmental Engineering 235B
C&EE M237A,Civil and Environmental Engineering M237A
C&EE 241,Civil and Environmental Engineering 241
C&EE 245,Civil and Environmental Engineering 245
C&EE 246,Civil and Environmental Engineering 246
C&EE 250B,Civil and Environmental Engineering 250B
C&EE 255A,Civil and Environmental Engineering 255A
C&EE 255B,Civil and Environmental Engineering 255B
C&EE C259,Civil and Environmental Engineering C259
C&EE M262A,Civil and Environmental Engineering M262A
C&EE C264,Civil and Environmental Engineering C264
C&EE C283,Civil and Environmental Engineering C283
C&EE C285,Civil and Environmental Engineering C285
C&EE M287,Civil and Environmental Engineering M287
C&EE 296,Civil and Environmental Engineering 296
C&EE 298,Civil and Environmental Engineering 298
C&EE 596,Civil and Environmental Engineering 596
C&EE 597A,Civil and Environmental Engineering 597A
C&EE 597B,Civil and Environmental Engineering 597B
C&EE 597C,Civil and Environmental Engineering 597C
C&EE 598,Civil and Environmental Engineering 598
C&EE 599,Civil and Environmental Engineering 599
C&S BIO 10,Computational and Systems Biology 10
C&S BIO 185,Computational and Systems Biology 185
C&S BIO 195,Computational and Systems Biology 195
C&S BIO 198A,Computational and Systems Biology 198A
C&S BIO 198B,Computational and Systems Biology 198B
C&S BIO 199,Computational and Systems Biology 199
CCAS 10B,Chicana/o and Central American Studies 10B
CCAS M18,Chicana/o and Central American Studies M18
CCAS 89,Chicana/o and Central American Studies 89
CCAS 99,Chicana/o and Central American Studies 99
CCAS 104,Chicana/o and Central American Studies 104
CCAS M105A,Chicana/o and Central American Studies M105A
CCAS M105D,Chicana/o and Central American Studies M105D
CCAS CM106,Chicana/o and Central American Studies CM106
CCAS 109,Chicana/o and Central American Studies 109
CCAS M114,Chicana/o and Central American Studies M114
CCAS M128,Chicana/o and Central American Studies M128
CCAS M139,Chicana/o and Central American Studies M139
CCAS 142,Chicana/o and Central American Studies 142
CCAS 145B,Chicana/o and Central American Studies 145B
CCAS 146,Chicana/o and Central American Studies 146
CCAS M148,Chicana/o and Central American Studies M148
CCAS 153B,Chicana/o and Central American Studies 153B
CCAS M155B,Chicana/o and Central American Studies M155B
CCAS M156A,Chicana/o and Central American Studies M156A
CCAS M167XP,Chicana/o and Central American Studies M167XP
CCAS 172,Chicana/o and Central American Studies 172
CCAS M173,Chicana/o and Central American Studies M173
CCAS M175,Chicana/o and Central American Studies M175
CCAS 181,Chicana/o and Central American Studies 181
CCAS 188,Chicana/o and Central American Studies 188
CCAS 191,Chicana/o and Central American Studies 191
CCAS 192A,Chicana/o and Central American Studies 192A
CCAS 197,Chicana/o and Central American Studies 197
CCAS 199,Chicana/o and Central American Studies 199
CCAS 201,Chicana/o and Central American Studies 201
CCAS M218,Chicana/o and Central American Studies M218
CCAS 238,Chicana/o and Central American Studies 238
CCAS C276,Chicana/o and Central American Studies C276
CCAS 291,Chicana/o and Central American Studies 291
CCAS 595,Chicana/o and Central American Studies 595
CCAS 596,Chicana/o and Central American Studies 596
CCAS 597,Chicana/o and Central American Studies 597
CCAS 599,Chicana/o and Central American Studies 599
CESC 50XP,Community Engagement and Social Change 50XP
CESC 95B,Community Engagement and Social Change 95B
CESC 95CE,Community Engagement and Social Change 95CE
CESC 98A,Community Engagement and Social Change 98A
CESC 100XP,Community Engagement and Social Change 100XP
CESC M122XP,Community Engagement and Social Change M122XP
CESC 151,Community Engagement and Social Change 151
CESC M170XP,Community Engagement and Social Change M170XP
CESC M190B,Community Engagement and Social Change M190B
CESC 191AX,Community Engagement and Social Change 191AX
CESC 195CE,Community Engagement and Social Change 195CE
CESC M195DC,Community Engagement and Social Change M195DC
APP CHM C107,Chemistry and Biochemistry C107
APP CHM 201B,Chemistry and Biochemistry 201B
APP CHM 203,Chemistry and Biochemistry 203
APP CHM C207,Chemistry and Biochemistry C207
APP CHM 208B,Chemistry and Biochemistry 208B
APP CHM 209,Chemistry and Biochemistry 209
APP CHM 495,Chemistry and Biochemistry 495
APP CHM 596,Chemistry and Biochemistry 596
CHEM 14A,Chemistry and Biochemistry 14A
