course_id,full_course_id,requisites,days_of_wk_cd,meet_strt_tm,meet_stop_tm,meet_bldg_cd,meet_room_cd,instructors
KOREA 5,Asian Languages and Cultures 5,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Korean 4']}]}",TR,11:00 am,12:15 pm,KAPLAN,A00048,"Jeon, S."
KOREA 5,Asian Languages and Cultures 5,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Korean 4']}]}",F,10:00 am,10:50 am,ONLINE,00000LA,"Jeon, S."
KOREA 100B,Asian Languages and Cultures 100B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Korean 100A']}]}",TR,11:00 am,12:15 pm,ROLFE,03116,"Yoon, J.E."
KOREA 100B,Asian Languages and Cultures 100B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Korean 100A']}]}",TR,12:30 pm,01:45 pm,PUB AFF,02325,"Yoon, J.E."
KOREA 101B,Asian Languages and Cultures 101B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Korean 101A']}]}",TR,11:00 am,12:15 pm,PUB AFF,02325,"Mitsunaga, J.I."
KOREA 102B,Asian Languages and Cultures 102B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Korean 6', 'Korean 6A', 'Korean 10']}]}",TR,12:30 pm,01:45 pm,YRL,11630F,"Choi, J.B."
KOREA 104A,Asian Languages and Cultures 104A,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Korean 101C']}]}",TR,12:30 pm,01:45 pm,BUNCHE,02156,"Jeon, S."
KOREA 106SL,Asian Languages and Cultures 106SL,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Korean 101C']}]}",MW,11:00 am,12:15 pm,BUNCHE,02174,"Sohn, S.S."
S ASIAN 110B,Asian Languages and Cultures 110B,"{'type': 'AND', 'conditions': ['South Asian 110A']}",MWF,11:00 am,11:50 am,BUNCHE,02160,"Jamison, S."
THAI 2,Asian Languages and Cultures 2,"{'type': 'AND', 'conditions': ['Thai 1']}",MW,11:00 am,12:15 pm,ROYCE,00148,"Gasigitamrong, J."
THAI 5,Asian Languages and Cultures 5,"{'type': 'AND', 'conditions': ['Thai 4']}",MW,09:30 am,10:45 am,ROYCE,00148,"Gasigitamrong, J."
THAI 5,Asian Languages and Cultures 5,"{'type': 'AND', 'conditions': ['Thai 4']}",F,10:00 am,10:50 am,ONLINE,00000LA,"Gasigitamrong, J."
THAI 100B,Asian Languages and Cultures 100B,"{'type': 'AND', 'conditions': ['Thai 100A']}",MW,02:00 pm,03:15 pm,ROYCE,00148,"Gasigitamrong, J."
VIETMSE 2,Asian Languages and Cultures 2,"{'type': 'AND', 'conditions': ['Vietnamese 1']}",TR,11:00 am,12:15 pm,PUB AFF,02319,"Nguyen, T.H."
VIETMSE 2,Asian Languages and Cultures 2,"{'type': 'AND', 'conditions': ['Vietnamese 1']}",F,08:00 am,09:50 am,ONLINE,00000LA,"Nguyen, T.H."
VIETMSE 2A,Asian Languages and Cultures 2A,"{'type': 'AND', 'conditions': ['Vietnamese 1A']}",TR,09:30 am,10:45 am,KAPLAN,00135,"Nguyen, T.H."
VIETMSE 5,Asian Languages and Cultures 5,"{'type': 'AND', 'conditions': ['Vietnamese 4']}",TR,11:00 am,12:15 pm,HAINES,A00028,"Bui, C.V."
VIETMSE 100B,Asian Languages and Cultures 100B,"{'type': 'AND', 'conditions': ['Vietnamese 6']}",TR,12:30 pm,01:45 pm,PUB AFF,02319,"Bui, C.V."
BIOENGR C101,Bioengineering C101,"{'type': 'AND', 'conditions': ['Mathematics 33B', 'Physics 1B']}",MW,02:00 pm,03:50 pm,ENGR VI,00134,"Kamei, D.T."
BIOENGR C107,Bioengineering C107,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Bioengineering C104', 'Bioengineering C105']}]}",MW,08:00 am,09:50 am,ROYCE,00190,"Deming, T.J."
